Tree	MatchingSplit	MatchingSplit_toYuleAvg	MatchingSplit_toUnifAvg
388	6.0000	1.1940	1.1721
389	3.0000	0.5970	0.5861
390	6.0000	1.1940	1.1721
391	6.0000	1.1940	1.1721
392	6.0000	1.1940	1.1721
393	7.0000	1.3930	1.3675
394	4.0000	0.7960	0.7814
395	4.0000	0.7960	0.7814
396	6.0000	1.1940	1.1721
397	6.0000	1.1940	1.1721
398	4.0000	0.7960	0.7814
399	6.0000	1.1940	1.1721
400	6.0000	1.1940	1.1721
401	4.0000	0.7960	0.7814
402	6.0000	1.1940	1.1721
403	6.0000	1.1940	1.1721
404	6.0000	1.1940	1.1721
405	4.0000	0.7960	0.7814
406	4.0000	0.7960	0.7814
407	6.0000	1.1940	1.1721
408	3.0000	0.5970	0.5861
409	6.0000	1.1940	1.1721
410	6.0000	1.1940	1.1721
411	6.0000	1.1940	1.1721
412	4.0000	0.7960	0.7814
413	6.0000	1.1940	1.1721
414	6.0000	1.1940	1.1721
415	6.0000	1.1940	1.1721
416	6.0000	1.1940	1.1721
417	6.0000	1.1940	1.1721
418	6.0000	1.1940	1.1721
419	7.0000	1.3930	1.3675
420	4.0000	0.7960	0.7814
421	6.0000	1.1940	1.1721
422	2.0000	0.3980	0.3907
423	4.0000	0.7960	0.7814
424	6.0000	1.1940	1.1721
425	6.0000	1.1940	1.1721
426	4.0000	0.7960	0.7814
427	7.0000	1.3930	1.3675
428	4.0000	0.7960	0.7814
429	5.0000	0.9950	0.9768
430	7.0000	1.3930	1.3675
431	6.0000	1.1940	1.1721
432	3.0000	0.5970	0.5861
433	6.0000	1.1940	1.1721
434	2.0000	0.3980	0.3907
435	6.0000	1.1940	1.1721
436	7.0000	1.3930	1.3675
437	7.0000	1.3930	1.3675
438	6.0000	1.1940	1.1721
439	6.0000	1.1940	1.1721
440	3.0000	0.5970	0.5861
441	4.0000	0.7960	0.7814
442	5.0000	0.9950	0.9768
443	6.0000	1.1940	1.1721
444	6.0000	1.1940	1.1721
445	6.0000	1.1940	1.1721
446	6.0000	1.1940	1.1721
447	6.0000	1.1940	1.1721
448	4.0000	0.7960	0.7814
449	6.0000	1.1940	1.1721
450	6.0000	1.1940	1.1721
451	3.0000	0.5970	0.5861
452	4.0000	0.7960	0.7814
453	6.0000	1.1940	1.1721
454	7.0000	1.3930	1.3675
