Tree	R-F_Cluster	R-F_Cluster_toYuleAvg	R-F_Cluster_toUnifAvg
256	6.0000	1.0499	1.0411
257	6.0000	1.0499	1.0411
258	6.0000	1.0499	1.0411
259	5.0000	0.8749	0.8676
260	5.0000	0.8749	0.8676
261	6.0000	1.0499	1.0411
262	6.0000	1.0499	1.0411
263	6.0000	1.0499	1.0411
264	6.0000	1.0499	1.0411
265	6.0000	1.0499	1.0411
266	5.0000	0.8749	0.8676
267	6.0000	1.0499	1.0411
268	6.0000	1.0499	1.0411
269	6.0000	1.0499	1.0411
270	6.0000	1.0499	1.0411
271	6.0000	1.0499	1.0411
272	5.0000	0.8749	0.8676
273	6.0000	1.0499	1.0411
274	6.0000	1.0499	1.0411
275	6.0000	1.0499	1.0411
276	5.0000	0.8749	0.8676
277	5.0000	0.8749	0.8676
278	5.0000	0.8749	0.8676
279	6.0000	1.0499	1.0411
280	3.0000	0.5249	0.5206
281	6.0000	1.0499	1.0411
282	6.0000	1.0499	1.0411
283	3.0000	0.5249	0.5206
284	5.0000	0.8749	0.8676
285	5.0000	0.8749	0.8676
286	6.0000	1.0499	1.0411
287	5.0000	0.8749	0.8676
288	6.0000	1.0499	1.0411
289	6.0000	1.0499	1.0411
290	6.0000	1.0499	1.0411
291	6.0000	1.0499	1.0411
292	6.0000	1.0499	1.0411
293	6.0000	1.0499	1.0411
294	6.0000	1.0499	1.0411
295	5.0000	0.8749	0.8676
296	6.0000	1.0499	1.0411
297	5.0000	0.8749	0.8676
298	6.0000	1.0499	1.0411
299	6.0000	1.0499	1.0411
300	6.0000	1.0499	1.0411
301	6.0000	1.0499	1.0411
302	6.0000	1.0499	1.0411
303	6.0000	1.0499	1.0411
304	5.0000	0.8749	0.8676
305	6.0000	1.0499	1.0411
306	6.0000	1.0499	1.0411
307	6.0000	1.0499	1.0411
308	6.0000	1.0499	1.0411
309	6.0000	1.0499	1.0411
310	6.0000	1.0499	1.0411
311	6.0000	1.0499	1.0411
312	6.0000	1.0499	1.0411
313	6.0000	1.0499	1.0411
314	6.0000	1.0499	1.0411
315	6.0000	1.0499	1.0411
316	6.0000	1.0499	1.0411
317	6.0000	1.0499	1.0411
318	6.0000	1.0499	1.0411
319	6.0000	1.0499	1.0411
320	6.0000	1.0499	1.0411
321	6.0000	1.0499	1.0411
322	6.0000	1.0499	1.0411
323	6.0000	1.0499	1.0411
324	6.0000	1.0499	1.0411
325	6.0000	1.0499	1.0411
326	6.0000	1.0499	1.0411
327	6.0000	1.0499	1.0411
328	6.0000	1.0499	1.0411
329	6.0000	1.0499	1.0411
330	5.0000	0.8749	0.8676
331	6.0000	1.0499	1.0411
332	5.0000	0.8749	0.8676
333	6.0000	1.0499	1.0411
334	6.0000	1.0499	1.0411
335	6.0000	1.0499	1.0411
336	6.0000	1.0499	1.0411
337	6.0000	1.0499	1.0411
338	6.0000	1.0499	1.0411
339	6.0000	1.0499	1.0411
340	5.0000	0.8749	0.8676
341	5.0000	0.8749	0.8676
342	5.0000	0.8749	0.8676
343	6.0000	1.0499	1.0411
344	6.0000	1.0499	1.0411
345	6.0000	1.0499	1.0411
346	6.0000	1.0499	1.0411
347	6.0000	1.0499	1.0411
348	6.0000	1.0499	1.0411
349	6.0000	1.0499	1.0411
350	6.0000	1.0499	1.0411
351	6.0000	1.0499	1.0411
352	6.0000	1.0499	1.0411
353	5.0000	0.8749	0.8676
354	5.0000	0.8749	0.8676
355	6.0000	1.0499	1.0411
356	6.0000	1.0499	1.0411
357	6.0000	1.0499	1.0411
358	4.0000	0.6999	0.6941
359	6.0000	1.0499	1.0411
360	6.0000	1.0499	1.0411
361	6.0000	1.0499	1.0411
362	6.0000	1.0499	1.0411
363	6.0000	1.0499	1.0411
364	6.0000	1.0499	1.0411
365	5.0000	0.8749	0.8676
366	6.0000	1.0499	1.0411
367	5.0000	0.8749	0.8676
368	6.0000	1.0499	1.0411
369	5.0000	0.8749	0.8676
370	5.0000	0.8749	0.8676
371	5.0000	0.8749	0.8676
372	6.0000	1.0499	1.0411
373	5.0000	0.8749	0.8676
374	5.0000	0.8749	0.8676
375	6.0000	1.0499	1.0411
376	6.0000	1.0499	1.0411
377	6.0000	1.0499	1.0411
378	4.0000	0.6999	0.6941
379	6.0000	1.0499	1.0411
380	6.0000	1.0499	1.0411
381	6.0000	1.0499	1.0411
382	6.0000	1.0499	1.0411
383	6.0000	1.0499	1.0411
384	6.0000	1.0499	1.0411
385	6.0000	1.0499	1.0411
386	5.0000	0.8749	0.8676
387	6.0000	1.0499	1.0411
388	6.0000	1.0499	1.0411
389	6.0000	1.0499	1.0411
390	6.0000	1.0499	1.0411
391	6.0000	1.0499	1.0411
392	6.0000	1.0499	1.0411
393	6.0000	1.0499	1.0411
394	6.0000	1.0499	1.0411
395	6.0000	1.0499	1.0411
396	6.0000	1.0499	1.0411
397	6.0000	1.0499	1.0411
398	6.0000	1.0499	1.0411
399	6.0000	1.0499	1.0411
400	6.0000	1.0499	1.0411
401	6.0000	1.0499	1.0411
402	5.0000	0.8749	0.8676
403	6.0000	1.0499	1.0411
404	6.0000	1.0499	1.0411
405	6.0000	1.0499	1.0411
406	6.0000	1.0499	1.0411
407	6.0000	1.0499	1.0411
408	6.0000	1.0499	1.0411
409	6.0000	1.0499	1.0411
410	6.0000	1.0499	1.0411
411	6.0000	1.0499	1.0411
412	6.0000	1.0499	1.0411
413	5.0000	0.8749	0.8676
414	6.0000	1.0499	1.0411
415	6.0000	1.0499	1.0411
416	6.0000	1.0499	1.0411
417	6.0000	1.0499	1.0411
418	6.0000	1.0499	1.0411
419	6.0000	1.0499	1.0411
420	6.0000	1.0499	1.0411
421	6.0000	1.0499	1.0411
422	6.0000	1.0499	1.0411
423	6.0000	1.0499	1.0411
424	6.0000	1.0499	1.0411
425	6.0000	1.0499	1.0411
426	6.0000	1.0499	1.0411
427	6.0000	1.0499	1.0411
428	5.0000	0.8749	0.8676
429	6.0000	1.0499	1.0411
430	6.0000	1.0499	1.0411
431	6.0000	1.0499	1.0411
432	6.0000	1.0499	1.0411
433	6.0000	1.0499	1.0411
434	6.0000	1.0499	1.0411
435	6.0000	1.0499	1.0411
436	6.0000	1.0499	1.0411
437	6.0000	1.0499	1.0411
438	6.0000	1.0499	1.0411
439	4.0000	0.6999	0.6941
440	6.0000	1.0499	1.0411
441	6.0000	1.0499	1.0411
442	6.0000	1.0499	1.0411
443	5.0000	0.8749	0.8676
444	6.0000	1.0499	1.0411
445	4.0000	0.6999	0.6941
446	6.0000	1.0499	1.0411
447	6.0000	1.0499	1.0411
448	6.0000	1.0499	1.0411
449	6.0000	1.0499	1.0411
450	6.0000	1.0499	1.0411
451	5.0000	0.8749	0.8676
452	6.0000	1.0499	1.0411
453	6.0000	1.0499	1.0411
454	4.0000	0.6999	0.6941
455	6.0000	1.0499	1.0411
456	5.0000	0.8749	0.8676
457	6.0000	1.0499	1.0411
458	6.0000	1.0499	1.0411
459	6.0000	1.0499	1.0411
460	6.0000	1.0499	1.0411
461	6.0000	1.0499	1.0411
462	6.0000	1.0499	1.0411
463	4.0000	0.6999	0.6941
464	6.0000	1.0499	1.0411
465	6.0000	1.0499	1.0411
466	6.0000	1.0499	1.0411
467	6.0000	1.0499	1.0411
468	6.0000	1.0499	1.0411
469	6.0000	1.0499	1.0411
470	6.0000	1.0499	1.0411
471	6.0000	1.0499	1.0411
472	6.0000	1.0499	1.0411
473	6.0000	1.0499	1.0411
474	6.0000	1.0499	1.0411
475	6.0000	1.0499	1.0411
476	6.0000	1.0499	1.0411
477	6.0000	1.0499	1.0411
478	6.0000	1.0499	1.0411
479	6.0000	1.0499	1.0411
480	6.0000	1.0499	1.0411
481	6.0000	1.0499	1.0411
482	5.0000	0.8749	0.8676
483	6.0000	1.0499	1.0411
484	6.0000	1.0499	1.0411
485	6.0000	1.0499	1.0411
486	6.0000	1.0499	1.0411
487	6.0000	1.0499	1.0411
488	6.0000	1.0499	1.0411
489	6.0000	1.0499	1.0411
490	5.0000	0.8749	0.8676
491	4.0000	0.6999	0.6941
492	6.0000	1.0499	1.0411
493	6.0000	1.0499	1.0411
494	6.0000	1.0499	1.0411
495	6.0000	1.0499	1.0411
496	6.0000	1.0499	1.0411
497	6.0000	1.0499	1.0411
498	6.0000	1.0499	1.0411
499	6.0000	1.0499	1.0411
500	6.0000	1.0499	1.0411
501	6.0000	1.0499	1.0411
502	5.0000	0.8749	0.8676
503	6.0000	1.0499	1.0411
504	6.0000	1.0499	1.0411
505	6.0000	1.0499	1.0411
506	6.0000	1.0499	1.0411
507	6.0000	1.0499	1.0411
508	5.0000	0.8749	0.8676
509	6.0000	1.0499	1.0411
510	6.0000	1.0499	1.0411
511	6.0000	1.0499	1.0411
512	6.0000	1.0499	1.0411
513	6.0000	1.0499	1.0411
514	6.0000	1.0499	1.0411
515	6.0000	1.0499	1.0411
516	6.0000	1.0499	1.0411
517	6.0000	1.0499	1.0411
518	6.0000	1.0499	1.0411
519	6.0000	1.0499	1.0411
520	6.0000	1.0499	1.0411
521	6.0000	1.0499	1.0411
522	6.0000	1.0499	1.0411
523	6.0000	1.0499	1.0411
524	6.0000	1.0499	1.0411
525	6.0000	1.0499	1.0411
526	6.0000	1.0499	1.0411
527	6.0000	1.0499	1.0411
528	6.0000	1.0499	1.0411
529	6.0000	1.0499	1.0411
530	4.0000	0.6999	0.6941
531	6.0000	1.0499	1.0411
532	6.0000	1.0499	1.0411
533	6.0000	1.0499	1.0411
534	6.0000	1.0499	1.0411
535	6.0000	1.0499	1.0411
536	6.0000	1.0499	1.0411
537	5.0000	0.8749	0.8676
538	4.0000	0.6999	0.6941
539	6.0000	1.0499	1.0411
540	6.0000	1.0499	1.0411
541	6.0000	1.0499	1.0411
542	6.0000	1.0499	1.0411
543	5.0000	0.8749	0.8676
544	6.0000	1.0499	1.0411
545	6.0000	1.0499	1.0411
546	5.0000	0.8749	0.8676
547	6.0000	1.0499	1.0411
548	6.0000	1.0499	1.0411
549	6.0000	1.0499	1.0411
550	6.0000	1.0499	1.0411
551	6.0000	1.0499	1.0411
552	6.0000	1.0499	1.0411
553	6.0000	1.0499	1.0411
554	6.0000	1.0499	1.0411
555	6.0000	1.0499	1.0411
556	6.0000	1.0499	1.0411
557	5.0000	0.8749	0.8676
558	6.0000	1.0499	1.0411
559	6.0000	1.0499	1.0411
560	6.0000	1.0499	1.0411
561	5.0000	0.8749	0.8676
562	6.0000	1.0499	1.0411
563	6.0000	1.0499	1.0411
564	6.0000	1.0499	1.0411
565	6.0000	1.0499	1.0411
566	6.0000	1.0499	1.0411
567	6.0000	1.0499	1.0411
568	6.0000	1.0499	1.0411
569	6.0000	1.0499	1.0411
570	6.0000	1.0499	1.0411
571	4.0000	0.6999	0.6941
572	6.0000	1.0499	1.0411
573	5.0000	0.8749	0.8676
574	6.0000	1.0499	1.0411
575	6.0000	1.0499	1.0411
576	6.0000	1.0499	1.0411
577	4.0000	0.6999	0.6941
578	5.0000	0.8749	0.8676
579	3.0000	0.5249	0.5206
580	6.0000	1.0499	1.0411
581	6.0000	1.0499	1.0411
582	6.0000	1.0499	1.0411
583	4.0000	0.6999	0.6941
584	6.0000	1.0499	1.0411
585	6.0000	1.0499	1.0411
586	6.0000	1.0499	1.0411
587	3.0000	0.5249	0.5206
588	6.0000	1.0499	1.0411
589	6.0000	1.0499	1.0411
590	5.0000	0.8749	0.8676
591	6.0000	1.0499	1.0411
592	6.0000	1.0499	1.0411
593	6.0000	1.0499	1.0411
594	6.0000	1.0499	1.0411
595	6.0000	1.0499	1.0411
596	5.0000	0.8749	0.8676
597	5.0000	0.8749	0.8676
598	6.0000	1.0499	1.0411
599	6.0000	1.0499	1.0411
600	5.0000	0.8749	0.8676
601	6.0000	1.0499	1.0411
602	6.0000	1.0499	1.0411
603	6.0000	1.0499	1.0411
604	6.0000	1.0499	1.0411
605	6.0000	1.0499	1.0411
606	5.0000	0.8749	0.8676
607	4.0000	0.6999	0.6941
