	CA7	CA8	CB7	CB8	CC7	CC8	CD7	CD8	CE7	CE8	CF7	CF8	CG7	CG8	CH7	CH8	CA1	CA2	CB1	CB2	CC1	CC2	CD1	CD2	CE1	CE2	CF1	CF2	CG1	CG2	CH1	CH2	CA5	CA6	CB5	CB6	CC5	CC6	CD6	CE5	CE6	CF5	CF6	CG5	CG6	CH5	CH6	CA11	CA12	CB11	CB12	CC11	CC12	CD11	CD12	CE11	CE12	CF11	CF12	CG11	CG12	CH11	CH12	CA3	CA4	CB3	CB4	CC4	CD3	CD4	CE4	CF3	CF4	CG3	CG4	CH3	CH4	CA9	CA10	CB9	CC9	CC10	CD9	CD10	CE9	CE10	CF9	CG9	CG10	CH9	CH10
CF7	0.658682634731	0.626746506986	0.664670658683	0.607784431138	0.471057884232	0.443113772455	0.635728542914	0.754491017964	0.761477045908	0.670658682635	0.0	0.450099800399	0.614770459082	0.64371257485	0.600798403194	0.65369261477	0.787425149701	0.763473053892	0.883233532934	0.868263473054	0.740518962076	0.680638722555	0.741516966068	0.730538922156	0.624750499002	0.679640718563	0.72255489022	0.714570858283	0.761477045908	0.798403193613	0.812375249501	0.778443113772	0.779441117764	0.796407185629	0.807385229541	0.801397205589	0.803393213573	0.808383233533	0.818363273453	0.805389221557	0.807385229541	0.804391217565	0.815369261477	0.802395209581	0.812375249501	0.786427145709	0.781437125749	0.708582834331	0.702594810379	0.690618762475	0.685628742515	0.656686626747	0.642714570858	0.688622754491	0.695608782435	0.679640718563	0.670658682635	0.64870259481	0.699600798403	0.685628742515	0.665668662675	0.714570858283	0.708582834331	0.931137724551	0.935129740519	0.890219560878	0.734530938124	0.930139720559	0.905189620758	0.744510978044	0.907185628743	0.854291417166	0.920159680639	0.738522954092	0.88622754491	0.958083832335	0.940119760479	0.694610778443	0.725548902196	0.710578842315	0.811377245509	0.786427145709	0.679640718563	0.692614770459	0.693612774451	0.686626746507	0.794411177645	0.713572854291	0.684630738523	0.719560878244	0.75748502994
CF8	0.681636726547	0.639720558882	0.666666666667	0.607784431138	0.412175648703	0.464071856287	0.64870259481	0.765469061876	0.782435129741	0.677644710579	0.450099800399	0.0	0.604790419162	0.63872255489	0.619760479042	0.672654690619	0.779441117764	0.753493013972	0.88123752495	0.868263473054	0.738522954092	0.670658682635	0.675648702595	0.654690618762	0.574850299401	0.611776447106	0.716566866267	0.701596806387	0.746506986028	0.800399201597	0.804391217565	0.776447105788	0.798403193613	0.808383233533	0.825349301397	0.817365269461	0.818363273453	0.822355289421	0.831337325349	0.825349301397	0.821357285429	0.819361277445	0.828343313373	0.815369261477	0.825349301397	0.800399201597	0.795409181637	0.703592814371	0.701596806387	0.692614770459	0.691616766467	0.671656686627	0.665668662675	0.697604790419	0.707584830339	0.690618762475	0.679640718563	0.666666666667	0.705588822355	0.688622754491	0.672654690619	0.706586826347	0.709580838323	0.932135728543	0.941117764471	0.90119760479	0.738522954092	0.930139720559	0.911177644711	0.74251497006	0.914171656687	0.84630738523	0.921157684631	0.75249500998	0.887225548902	0.966067864271	0.940119760479	0.708582834331	0.725548902196	0.720558882236	0.828343313373	0.797405189621	0.691616766467	0.703592814371	0.704590818363	0.700598802395	0.791417165669	0.719560878244	0.715568862275	0.719560878244	0.758483033932
CG7	0.560878243513	0.550898203593	0.535928143713	0.428143712575	0.61377245509	0.599800399202	0.557884231537	0.63872255489	0.641716566866	0.564870259481	0.614770459082	0.604790419162	0.0	0.522954091816	0.543912175649	0.568862275449	0.84630738523	0.824351297405	0.89121756487	0.850299401198	0.696606786427	0.660678642715	0.836327345309	0.816367265469	0.725548902196	0.775449101796	0.783433133733	0.755489021956	0.725548902196	0.761477045908	0.830339321357	0.817365269461	0.661676646707	0.670658682635	0.644710578842	0.679640718563	0.634730538922	0.674650698603	0.691616766467	0.692614770459	0.687624750499	0.688622754491	0.649700598802	0.672654690619	0.642714570858	0.657684630739	0.659680638723	0.682634730539	0.666666666667	0.704590818363	0.703592814371	0.619760479042	0.686626746507	0.625748502994	0.719560878244	0.631736526946	0.571856287425	0.670658682635	0.636726546906	0.699600798403	0.717564870259	0.698602794411	0.721556886228	0.89121756487	0.898203592814	0.890219560878	0.735528942116	0.894211576846	0.879241516966	0.74251497006	0.89121756487	0.86127744511	0.90618762475	0.744510978044	0.864271457086	0.921157684631	0.907185628743	0.74251497006	0.744510978044	0.761477045908	0.684630738523	0.654690618762	0.611776447106	0.60878243513	0.60878243513	0.60379241517	0.798403193613	0.758483033932	0.710578842315	0.75748502994	0.794411177645
CG8	0.667664670659	0.660678642715	0.425149700599	0.540918163673	0.65369261477	0.652694610778	0.664670658683	0.678642714571	0.669660678643	0.656686626747	0.64371257485	0.63872255489	0.522954091816	0.0	0.65369261477	0.667664670659	0.825349301397	0.804391217565	0.877245508982	0.847305389222	0.735528942116	0.718562874251	0.791417165669	0.771457085828	0.685628742515	0.725548902196	0.768463073852	0.741516966068	0.716566866267	0.764471057884	0.807385229541	0.792415169661	0.7375249501	0.730538922156	0.688622754491	0.740518962076	0.681636726547	0.725548902196	0.729540918164	0.74251497006	0.7375249501	0.736526946108	0.681636726547	0.724550898204	0.688622754491	0.72754491018	0.735528942116	0.749500998004	0.708582834331	0.778443113772	0.773453093812	0.686626746507	0.741516966068	0.685628742515	0.751497005988	0.686626746507	0.661676646707	0.719560878244	0.682634730539	0.776447105788	0.774451097804	0.756487025948	0.786427145709	0.880239520958	0.828343313373	0.875249500998	0.743512974052	0.816367265469	0.868263473054	0.759481037924	0.88123752495	0.839321357285	0.895209580838	0.765469061876	0.850299401198	0.844311377246	0.894211576846	0.834331337325	0.813373253493	0.843313373253	0.709580838323	0.687624750499	0.720558882236	0.709580838323	0.72255489022	0.715568862275	0.880239520958	0.852295409182	0.803393213573	0.843313373253	0.873253493014
CH7	0.375249500998	0.289421157685	0.655688622754	0.494011976048	0.629740518962	0.590818363273	0.369261477046	0.458083832335	0.462075848303	0.398203592814	0.600798403194	0.619760479042	0.543912175649	0.65369261477	0.0	0.37125748503	0.869261477046	0.85129740519	0.902195608782	0.90119760479	0.7375249501	0.701596806387	0.89121756487	0.872255489022	0.766467065868	0.816367265469	0.807385229541	0.784431137725	0.774451097804	0.836327345309	0.85129740519	0.837325349301	0.545908183633	0.527944111776	0.577844311377	0.51996007984	0.62874251497	0.551896207585	0.59880239521	0.542914171657	0.621756487026	0.567864271457	0.62874251497	0.518962075848	0.554890219561	0.515968063872	0.544910179641	0.693612774451	0.693612774451	0.656686626747	0.657684630739	0.596806387226	0.616766467066	0.609780439122	0.692614770459	0.61377245509	0.525948103792	0.607784431138	0.627744510978	0.654690618762	0.63373253493	0.700598802395	0.678642714571	0.912175648703	0.936127744511	0.887225548902	0.693612774451	0.921157684631	0.894211576846	0.729540918164	0.900199600798	0.860279441118	0.908183632735	0.721556886228	0.879241516966	0.947105788423	0.933133732535	0.660678642715	0.715568862275	0.675648702595	0.631736526946	0.639720558882	0.52994011976	0.536926147705	0.483033932136	0.4750499002	0.765469061876	0.664670658683	0.626746506986	0.667664670659	0.704590818363
CH8	0.297405189621	0.37125748503	0.671656686627	0.522954091816	0.678642714571	0.654690618762	0.419161676647	0.422155688623	0.428143712575	0.440119760479	0.65369261477	0.672654690619	0.568862275449	0.667664670659	0.37125748503	0.0	0.914171656687	0.890219560878	0.917165668663	0.916167664671	0.769461077844	0.736526946108	0.946107784431	0.923153692615	0.822355289421	0.869261477046	0.850299401198	0.830339321357	0.825349301397	0.855289421158	0.872255489022	0.865269461078	0.551896207585	0.530938123752	0.571856287425	0.49500998004	0.622754491018	0.550898203593	0.605788423154	0.551896207585	0.627744510978	0.573852295409	0.62874251497	0.517964071856	0.552894211577	0.518962075848	0.548902195609	0.726546906188	0.709580838323	0.694610778443	0.695608782435	0.592814371257	0.659680638723	0.639720558882	0.718562874251	0.645708582834	0.553892215569	0.63373253493	0.634730538922	0.695608782435	0.669660678643	0.729540918164	0.708582834331	0.922155688623	0.944111776447	0.895209580838	0.735528942116	0.937125748503	0.905189620758	0.733532934132	0.910179640719	0.873253493014	0.922155688623	0.740518962076	0.889221556886	0.957085828343	0.942115768463	0.713572854291	0.738522954092	0.706586826347	0.644710578842	0.63872255489	0.578842315369	0.59880239521	0.540918163673	0.527944111776	0.755489021956	0.731536926148	0.683632734531	0.696606786427	0.726546906188
CA1	0.922155688623	0.868263473054	0.836327345309	0.850299401198	0.781437125749	0.781437125749	0.870259481038	0.915169660679	0.90119760479	0.873253493014	0.787425149701	0.779441117764	0.84630738523	0.825349301397	0.869261477046	0.914171656687	0.0	0.347305389222	0.515968063872	0.50499001996	0.832335329341	0.715568862275	0.743512974052	0.735528942116	0.709580838323	0.710578842315	0.462075848303	0.520958083832	0.458083832335	0.471057884232	0.493013972056	0.432135728543	0.960079840319	0.960079840319	0.958083832335	0.958083832335	0.959081836327	0.955089820359	0.957085828343	0.958083832335	0.955089820359	0.956087824351	0.956087824351	0.957085828343	0.957085828343	0.957085828343	0.958083832335	0.920159680639	0.935129740519	0.932135728543	0.934131736527	0.929141716567	0.916167664671	0.922155688623	0.914171656687	0.914171656687	0.921157684631	0.925149700599	0.923153692615	0.932135728543	0.925149700599	0.923153692615	0.932135728543	0.933133732535	0.946107784431	0.916167664671	0.932135728543	0.943113772455	0.935129740519	0.934131736527	0.921157684631	0.920159680639	0.917165668663	0.934131736527	0.916167664671	0.965069860279	0.941117764471	0.921157684631	0.920159680639	0.930139720559	0.934131736527	0.929141716567	0.928143712575	0.921157684631	0.925149700599	0.928143712575	0.946107784431	0.915169660679	0.934131736527	0.928143712575	0.934131736527
CA2	0.900199600798	0.854291417166	0.801397205589	0.825349301397	0.760479041916	0.779441117764	0.862275449102	0.902195608782	0.897205588822	0.859281437126	0.763473053892	0.753493013972	0.824351297405	0.804391217565	0.85129740519	0.890219560878	0.347305389222	0.0	0.466067864271	0.447105788423	0.833333333333	0.705588822355	0.73253493014	0.718562874251	0.690618762475	0.688622754491	0.436127744511	0.49001996008	0.432135728543	0.414171656687	0.428143712575	0.367265469062	0.948103792415	0.950099800399	0.941117764471	0.944111776447	0.946107784431	0.941117764471	0.941117764471	0.949101796407	0.944111776447	0.946107784431	0.945109780439	0.943113772455	0.940119760479	0.943113772455	0.950099800399	0.90119760479	0.908183632735	0.907185628743	0.912175648703	0.907185628743	0.903193612774	0.898203592814	0.893213572854	0.892215568862	0.902195608782	0.908183632735	0.907185628743	0.90618762475	0.905189620758	0.905189620758	0.910179640719	0.925149700599	0.936127744511	0.941117764471	0.914171656687	0.931137724551	0.921157684631	0.911177644711	0.911177644711	0.899201596806	0.921157684631	0.909181636727	0.936127744511	0.961077844311	0.939121756487	0.912175648703	0.90119760479	0.918163672655	0.933133732535	0.912175648703	0.911177644711	0.913173652695	0.908183632735	0.918163672655	0.932135728543	0.916167664671	0.918163672655	0.921157684631	0.922155688623
CB1	0.923153692615	0.903193612774	0.87624750499	0.887225548902	0.88123752495	0.88123752495	0.915169660679	0.914171656687	0.924151696607	0.912175648703	0.883233532934	0.88123752495	0.89121756487	0.877245508982	0.902195608782	0.917165668663	0.515968063872	0.466067864271	0.0	0.306387225549	0.88123752495	0.763473053892	0.835329341317	0.828343313373	0.800399201597	0.805389221557	0.540918163673	0.587824351297	0.5	0.417165668663	0.435129740519	0.464071856287	0.965069860279	0.963073852295	0.938123752495	0.961077844311	0.940119760479	0.945109780439	0.958083832335	0.964071856287	0.964071856287	0.964071856287	0.940119760479	0.948103792415	0.942115768463	0.960079840319	0.967065868263	0.931137724551	0.930139720559	0.927145708583	0.928143712575	0.928143712575	0.926147704591	0.929141716567	0.924151696607	0.919161676647	0.922155688623	0.926147704591	0.924151696607	0.925149700599	0.931137724551	0.930139720559	0.926147704591	0.928143712575	0.931137724551	0.938123752495	0.928143712575	0.920159680639	0.936127744511	0.923153692615	0.934131736527	0.914171656687	0.938123752495	0.922155688623	0.943113772455	0.946107784431	0.935129740519	0.966067864271	0.931137724551	0.963073852295	0.926147704591	0.929141716567	0.946107784431	0.948103792415	0.941117764471	0.939121756487	0.963073852295	0.962075848303	0.963073852295	0.964071856287	0.968063872255
CB2	0.918163672655	0.90618762475	0.844311377246	0.858283433134	0.86626746507	0.867265469062	0.908183632735	0.918163672655	0.914171656687	0.910179640719	0.868263473054	0.868263473054	0.850299401198	0.847305389222	0.90119760479	0.916167664671	0.50499001996	0.447105788423	0.306387225549	0.0	0.867265469062	0.74750499002	0.826347305389	0.807385229541	0.795409181637	0.789421157685	0.520958083832	0.569860279441	0.454091816367	0.374251497006	0.413173652695	0.448103792415	0.962075848303	0.960079840319	0.927145708583	0.959081836327	0.931137724551	0.944111776447	0.955089820359	0.958083832335	0.960079840319	0.961077844311	0.932135728543	0.942115768463	0.932135728543	0.956087824351	0.962075848303	0.915169660679	0.917165668663	0.926147704591	0.919161676647	0.920159680639	0.921157684631	0.935129740519	0.929141716567	0.925149700599	0.915169660679	0.924151696607	0.923153692615	0.916167664671	0.934131736527	0.917165668663	0.919161676647	0.921157684631	0.932135728543	0.937125748503	0.917165668663	0.925149700599	0.930139720559	0.917165668663	0.930139720559	0.920159680639	0.930139720559	0.911177644711	0.937125748503	0.950099800399	0.931137724551	0.956087824351	0.927145708583	0.957085828343	0.926147704591	0.922155688623	0.947105788423	0.947105788423	0.949101796407	0.945109780439	0.960079840319	0.959081836327	0.957085828343	0.960079840319	0.962075848303
