Tree	R-F_Cluster	R-F_Cluster_toYuleAvg	R-F_Cluster_toUnifAvg
411	4.0000	1.0908	1.0902
412	3.0000	0.8181	0.8177
413	3.0000	0.8181	0.8177
414	4.0000	1.0908	1.0902
415	4.0000	1.0908	1.0902
416	4.0000	1.0908	1.0902
417	4.0000	1.0908	1.0902
418	4.0000	1.0908	1.0902
419	4.0000	1.0908	1.0902
420	4.0000	1.0908	1.0902
421	4.0000	1.0908	1.0902
422	4.0000	1.0908	1.0902
423	4.0000	1.0908	1.0902
424	4.0000	1.0908	1.0902
425	3.0000	0.8181	0.8177
426	4.0000	1.0908	1.0902
427	4.0000	1.0908	1.0902
428	2.0000	0.5454	0.5451
429	3.0000	0.8181	0.8177
430	3.0000	0.8181	0.8177
431	4.0000	1.0908	1.0902
432	4.0000	1.0908	1.0902
433	4.0000	1.0908	1.0902
434	4.0000	1.0908	1.0902
435	3.0000	0.8181	0.8177
436	4.0000	1.0908	1.0902
437	4.0000	1.0908	1.0902
438	4.0000	1.0908	1.0902
439	4.0000	1.0908	1.0902
440	4.0000	1.0908	1.0902
441	4.0000	1.0908	1.0902
442	4.0000	1.0908	1.0902
443	3.0000	0.8181	0.8177
444	3.0000	0.8181	0.8177
445	2.0000	0.5454	0.5451
446	3.0000	0.8181	0.8177
447	4.0000	1.0908	1.0902
448	3.0000	0.8181	0.8177
449	4.0000	1.0908	1.0902
450	3.0000	0.8181	0.8177
451	4.0000	1.0908	1.0902
452	3.0000	0.8181	0.8177
453	4.0000	1.0908	1.0902
454	4.0000	1.0908	1.0902
455	4.0000	1.0908	1.0902
456	2.0000	0.5454	0.5451
457	4.0000	1.0908	1.0902
458	4.0000	1.0908	1.0902
459	4.0000	1.0908	1.0902
460	4.0000	1.0908	1.0902
461	4.0000	1.0908	1.0902
462	4.0000	1.0908	1.0902
463	3.0000	0.8181	0.8177
464	4.0000	1.0908	1.0902
465	3.0000	0.8181	0.8177
466	3.0000	0.8181	0.8177
467	3.0000	0.8181	0.8177
468	4.0000	1.0908	1.0902
469	3.0000	0.8181	0.8177
470	4.0000	1.0908	1.0902
471	4.0000	1.0908	1.0902
472	4.0000	1.0908	1.0902
473	4.0000	1.0908	1.0902
474	4.0000	1.0908	1.0902
475	4.0000	1.0908	1.0902
476	3.0000	0.8181	0.8177
477	4.0000	1.0908	1.0902
478	4.0000	1.0908	1.0902
479	4.0000	1.0908	1.0902
480	3.0000	0.8181	0.8177
481	3.0000	0.8181	0.8177
482	4.0000	1.0908	1.0902
483	2.0000	0.5454	0.5451
484	4.0000	1.0908	1.0902
485	3.0000	0.8181	0.8177
486	4.0000	1.0908	1.0902
487	4.0000	1.0908	1.0902
488	4.0000	1.0908	1.0902
489	3.0000	0.8181	0.8177
490	4.0000	1.0908	1.0902
491	4.0000	1.0908	1.0902
492	4.0000	1.0908	1.0902
493	4.0000	1.0908	1.0902
494	3.0000	0.8181	0.8177
495	3.0000	0.8181	0.8177
496	4.0000	1.0908	1.0902
497	1.0000	0.2727	0.2726
498	4.0000	1.0908	1.0902
499	4.0000	1.0908	1.0902
500	4.0000	1.0908	1.0902
501	3.0000	0.8181	0.8177
502	4.0000	1.0908	1.0902
503	3.0000	0.8181	0.8177
504	4.0000	1.0908	1.0902
505	3.0000	0.8181	0.8177
506	4.0000	1.0908	1.0902
507	4.0000	1.0908	1.0902
508	4.0000	1.0908	1.0902
509	4.0000	1.0908	1.0902
510	3.0000	0.8181	0.8177
511	4.0000	1.0908	1.0902
512	3.0000	0.8181	0.8177
513	4.0000	1.0908	1.0902
514	4.0000	1.0908	1.0902
515	4.0000	1.0908	1.0902
516	3.0000	0.8181	0.8177
517	3.0000	0.8181	0.8177
518	3.0000	0.8181	0.8177
519	2.0000	0.5454	0.5451
