OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Vertebrate_mean	Invertebrate_mean
k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales;f__Spirochaetaceae	128.289385729	9.7014541815e-30	2.15741862036e-28	4.53057910276e-27	0.0225833557654	0.000145414357695
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae	126.952956468	1.90229734183e-29	4.03805844835e-28	8.88372858636e-27	0.0860759877545	0.0163011185132
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae	125.161701951	4.69118904176e-29	9.52515340218e-28	2.1907852825e-26	0.000588005957448	0.00425870152309
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae	117.365496275	2.38754452331e-27	4.64576371827e-26	1.11498329239e-24	0.0507596351811	0.000885545663499
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae	107.381274148	3.67260362553e-25	6.86042357248e-24	1.71510589312e-22	0.00105202005045	0.0106717033376
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae]	107.166152683	4.09368841116e-25	7.35289418465e-24	1.91175248801e-22	0.0077055374449	0.0376465771991
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	104.420962246	1.63590643203e-24	2.82951223613e-23	7.63968303756e-22	0.0345266598066	0.0012383460842
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae	103.690219562	2.36556111157e-24	3.9454179968e-23	1.1047170391e-21	0.0219006801149	0.0855044769084
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae	103.159340961	3.09248094585e-24	4.97996069555e-23	1.44418860171e-21	0.00332150536121	0.00653419870248
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae]	102.576655531	4.14994890078e-24	6.46008712221e-23	1.93802613666e-21	0.00618669648286	0.000156905853727
k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Sphaerochaetales;f__Sphaerochaetaceae	102.199399271	5.02051287547e-24	7.56315971885e-23	2.34457951284e-21	0.00525000247601	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__	97.356099985	5.79159555441e-23	8.45210976222e-22	2.70467512391e-20	0.000857808287941	4.71062945594e-05
k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__HA64;f__	95.8623990304	1.23152304386e-22	1.74279170146e-21	5.75121261483e-20	0.000417769507208	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae	91.6669492015	1.02563675173e-21	1.40874224429e-20	4.78972363058e-19	0.000415483424504	4.88810754229e-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae]	91.4907554242	1.12114732975e-21	1.4959308657e-20	5.23575802994e-19	0.00929431524817	0.000219966157409
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	90.9232726018	1.49352663216e-21	1.93743593671e-20	6.97476937217e-19	0.00416476517358	0.000990820792644
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae	89.2056716002	3.55827363861e-21	4.49111834928e-20	1.66171378923e-18	0.00562498530585	0.0628753915615
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae]	82.7494609934	9.31412083347e-20	1.14465642875e-18	4.34969442923e-17	5.00404905571e-05	0.0012585051068
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae	82.538464196	1.0363369074e-19	1.24094701476e-18	4.83969335754e-17	2.97392655738e-05	0.265989782554
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Procabacteriales;f__Procabacteriaceae	80.4526942882	2.97748318476e-19	3.47621161821e-18	1.39048464728e-16	1.40521530834e-06	0.0023329888522
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae]	79.824724039	4.09140877296e-19	4.66021438286e-18	1.91068789697e-16	0.00319559251141	0.000147312693098
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	77.9954625584	1.03277521434e-18	1.14834767881e-17	4.82306025099e-16	0.00227481505174	0.00644522412291
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__	77.667758426	1.21915247749e-18	1.32405629532e-17	5.69344206989e-16	0.000733541113144	0.000234457665115
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__Elusimicrobiales;f__Elusimicrobiaceae	76.0037313502	2.8312922548e-18	3.00503064317e-17	1.32221348299e-15	0.000522281261958	1.53529970873e-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae	75.8249237332	3.09963876195e-18	3.21673622629e-17	1.44753130183e-15	0.00327324708922	0.0112897103973
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae	74.7829422631	5.25417135523e-18	5.33412613672e-17	2.45369802289e-15	0.000271559764347	0.00556518642132
k__Bacteria;p__OD1;c__ZB2;o__;f__	73.1028409962	1.23067247578e-17	1.22281711956e-16	5.74724046191e-15	0.0	0.00118225722629
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae	72.6457578755	1.55139996934e-17	1.50938288684e-16	7.24503785682e-15	0.00410519115036	0.00815400841079
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae	70.9100224391	3.73893733698e-17	3.56343619667e-16	1.74608373637e-14	0.000114830656308	0.0221047612991
k__Bacteria;p__Verrucomicrobia;c__Verruco-5;o__WCHB1-41;f__RFP12	65.4021045567	6.10736381276e-16	5.70427780112e-15	2.85213890056e-13	0.000735914981657	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__	62.6228221578	2.50335727582e-15	2.29228989766e-14	1.16906784781e-12	0.000654159921373	2.32813918901e-05
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Acholeplasmatales;f__Acholeplasmataceae	62.465183845	2.7119683744e-15	2.43555621316e-14	1.26648923085e-12	0.00056858439275	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae	59.8799861375	1.00821496124e-14	8.88370541316e-14	4.70836386898e-12	6.14198621751e-05	0.00117825435469
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae	58.95063803	1.61677413642e-14	1.39821022539e-13	7.55033521709e-12	0.00576886031708	0.00334153356976
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;Other	58.6642069093	1.87012867548e-14	1.58790925718e-13	8.73350091449e-12	1.02722050512e-06	0.00105449477152
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae	55.643215671	8.68922871401e-14	7.24619608829e-13	4.05786980944e-11	3.95626853487e-06	0.00127806128105
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Succinivibrionaceae	55.5349938947	9.18100104862e-14	7.52197805211e-13	4.2875274897e-11	0.000245292311868	4.39136166464e-07
k__Bacteria;p__Spirochaetes;c__[Brachyspirae];o__[Brachyspirales];f__Brachyspiraceae	50.9094355907	9.67274839275e-13	7.7882301714e-12	4.51717349941e-10	0.00160977602835	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__	50.0580341927	1.49265382669e-12	1.18147345265e-11	6.97069337063e-10	1.10026765937e-05	0.00110428838443
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	49.443520396	2.04165767743e-12	1.5890902256e-11	9.53454135359e-10	0.00932242218978	0.000584109424888
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Methylophilales;f__Methylophilaceae	48.8405979215	2.77633128619e-12	2.1254864109e-11	1.29654671065e-09	1.2711070752e-05	0.0008535117729
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae	48.0678539934	4.11721482294e-12	3.10119245534e-11	1.92273932231e-09	0.00110866262647	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__RF16	47.2237320688	6.33290146865e-12	4.69438886644e-11	2.95746498586e-09	0.00210355118262	1.90930442141e-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__	44.9006756814	2.07286339039e-11	1.51254250517e-10	9.68027203312e-09	0.0134366655947	0.00035354390976
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;Other	43.7024596089	3.82291019623e-11	2.74661394099e-10	1.78529906164e-08	5.02339000461e-06	0.000224141288227
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	42.4406491302	7.28599189989e-11	5.07844510037e-10	3.40255821725e-08	0.000101077505957	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__p-2534-18B5	42.4406491302	7.28599189989e-11	5.07844510037e-10	3.40255821725e-08	0.000776665482253	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae	42.3859104963	7.49278717766e-11	5.1457817823e-10	3.49913161197e-08	0.00312101077678	0.00153254565224
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae	42.0914042355	8.7105232569e-11	5.89538313184e-10	4.06781436097e-08	0.000165767706119	0.0168373302648
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae	40.9199389047	1.58594798288e-10	1.05805386858e-09	7.40637708007e-08	0.00197441004765	0.00148401054806
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae	40.3255411931	2.14980022126e-10	1.41402352582e-09	1.00395670333e-07	1.11414719861e-05	0.000680499966457
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__mitochondria	40.1519777306	2.34953503973e-10	1.52393453272e-09	1.09723286356e-07	1.39281812781e-05	0.0008400316373
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;Other;Other	38.5096785711	5.44828248998e-10	3.48540811345e-09	2.54434792282e-07	7.62097140082e-05	0.000619702102412
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae	35.8654937967	2.11420055049e-09	1.33423196903e-08	9.8733165708e-07	1.00054088814e-05	0.00239656476922
k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__[Cerasicoccales];f__[Cerasicoccaceae]	35.6296725396	2.38624936211e-09	1.48583793614e-08	1.11437845211e-06	9.63693679384e-05	1.3437099424e-05
k__Bacteria;p__OD1;c__SM2F11;o__;f__	35.1444449605	3.06133433557e-09	1.88110938778e-08	1.42964313471e-06	0.0	0.000431933044185
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__[Methanomassiliicoccaceae]	34.1379069291	5.13413131704e-09	3.03498648741e-08	2.39763932506e-06	2.83989789391e-05	0.0
k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria];o__Z20;f__R4-45B	34.1379069291	5.13413131704e-09	3.03498648741e-08	2.39763932506e-06	0.000366495785607	0.0
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Acholeplasmatales;Other	34.1379069291	5.13413131704e-09	3.03498648741e-08	2.39763932506e-06	0.000148905999897	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae	31.8699573534	1.64847177725e-08	9.62295399968e-08	7.69836319975e-06	0.000783362085815	4.47399866088e-05
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae	30.5184213434	3.30711309391e-08	1.90669359859e-07	1.54442181486e-05	0.00380017622925	0.00121846154949
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;Other	29.6997183015	5.04421503523e-08	2.87274197738e-07	2.35564842145e-05	1.23682189291e-05	7.01308009569e-07
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__GMD14H09;f__	28.6933832485	8.47929543398e-08	4.77088068394e-07	3.95983096767e-05	9.16872097125e-05	0.0
k__Bacteria;p__Tenericutes;c__RF3;o__ML615J-28;f__	27.1911787871	1.84297636568e-07	1.02460709854e-06	8.60669962773e-05	2.98268566703e-05	5.66343841026e-06
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolinaceae	25.9979559645	3.41779029035e-07	1.87777419481e-06	0.000159610806559	1.30046612766e-05	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae	24.9357197799	5.92739513571e-07	3.21871340509e-06	0.000276809352838	0.000354589413042	0.0271888567134
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	24.904885988	6.02295818435e-07	3.23301318631e-06	0.000281272147209	0.0053879434329	0.0116187434011
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae	24.7920817435	6.38592617175e-07	3.3888949116e-06	0.000298222752221	0.000557029100781	4.69556339332e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Jonesiaceae	23.3202616125	1.37147615516e-06	7.11643738288e-06	0.000640479364459	0.000528566484862	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;Other;Other	23.3202616125	1.37147615516e-06	7.11643738288e-06	0.000640479364459	2.55865053443e-05	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	22.9450664791	1.6669748125e-06	8.55469491689e-06	0.000778477237437	0.0031607688234	0.000988251065252
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Halomonadaceae	22.5142349192	2.08592110255e-06	1.0588316901e-05	0.000974125154889	0.000694427257025	0.0172536513818
k__Bacteria;p__GN02;c__GKS2-174;o__;f__	22.3076117675	2.32284044061e-06	1.16641557609e-05	0.00108476648576	0.0	0.000421745778093
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae	20.6969546867	5.38014997295e-06	2.67290429507e-05	0.00251253003737	0.0	0.000286452954725
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae	20.2777018059	6.69766264356e-06	3.29242995215e-05	0.00312780845454	0.000709119919939	6.78577014358e-05
k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__	19.1416375882	1.21368073867e-05	5.90405109334e-05	0.0056678890496	5.91796329551e-06	4.41851951759e-07
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae	18.5983923941	1.61356562113e-05	7.76840355738e-05	0.00753535145066	0.0	0.000266457546769
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae	18.4049651476	1.78592013858e-05	8.51045617058e-05	0.00834024704717	0.000166524230484	0.000380973660606
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae	18.0176059661	2.18871362211e-05	0.000103245379952	0.0102212926153	4.14339086543e-05	0.0
k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria];o__Victivallales;f__Victivallaceae	17.7599541475	2.5060284308e-05	0.000117031527718	0.0117031527718	0.000103049015253	2.93027723615e-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae	17.5520735428	2.79545774587e-05	0.000129255323497	0.0130547876732	0.000748161632245	0.00245723869789
k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae	16.7135929664	4.34684309185e-05	0.000199017227833	0.0202997572389	4.09193967514e-06	0.000456825189868
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__	16.477253513	4.92372592459e-05	0.000223240777358	0.0229938000678	9.37265023545e-06	0.000572868796566
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae	16.04019832	6.20118045387e-05	0.000278456853073	0.0289595127196	0.00690085908029	0.000523013544192
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae	15.9274018682	6.58188917726e-05	0.000292737356741	0.0307374224578	1.9227838218e-07	0.000283356980856
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__;f__	15.658829324	7.58575991967e-05	0.000334202819102	0.0354254988249	1.52238664125e-06	0.000221891745817
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Dehalobacteriaceae	15.3924136959	8.7338230923e-05	0.00037765698001	0.0407869538411	4.2659182369e-05	0.0
k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales;f__Synergistaceae	15.3924136959	8.7338230923e-05	0.00037765698001	0.0407869538411	2.23265128085e-05	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae	15.2249370853	9.54348531957e-05	0.000408881435251	0.0445680764424	4.21701496423e-05	0.000723475726552
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae	14.8325636191	0.000117489227222	0.000498795173752	0.0548674691128	0.00230436388305	0.001011474938
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae	14.1535391479	0.000168479866321	0.000708829707853	0.0786800975717	0.000217343692419	0.00080278392865
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__	13.979484251	0.000184816309501	0.000770618004796	0.0863092165372	2.65498631016e-05	4.74886122308e-07
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae	13.3173414658	0.000262962748638	0.00108154691569	0.122803603614	0.00137183138213	0.000677340942213
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae	13.3098330025	0.000264017876635	0.00108154691569	0.123296348388	0.00298765878265	0.00249680855377
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__	13.2300549745	0.000275495731141	0.00111875222994	0.128656506443	3.62236359312e-06	0.000251799069263
k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Chroococcales;f__Xenococcaceae	13.1049023602	0.000294524025531	0.00118571310278	0.137542719923	0.0	0.000172101966094
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__;f__	12.7844923984	0.000349504588895	0.00137158523541	0.163218643014	5.4218462482e-05	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__	12.7844923984	0.000349504588895	0.00137158523541	0.163218643014	2.89829716899e-06	0.0
k__Bacteria;p__Spirochaetes;c__Spirochaetes;Other;Other	12.7844923984	0.000349504588895	0.00137158523541	0.163218643014	7.30729672332e-06	0.0
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Pseudanabaenales;f__Pseudanabaenaceae	12.6249846348	0.000380625009757	0.00148126566297	0.177751879557	0.0	9.28972343816e-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae	12.4380446398	0.000420675977379	0.00162360067303	0.196455681436	6.79281049917e-07	7.53293483134e-05
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__0319-6G20	12.1482236182	0.000491346410152	0.00186619576645	0.229458773541	0.0	0.000108253219115
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae	12.1475466349	0.000491524795018	0.00186619576645	0.229542079273	3.07175756867e-06	0.000415736472539
k__Bacteria;p__GN02;c__BD1-5;o__;f__	11.9152127963	0.000556773774174	0.00209688187532	0.260013352539	1.33054592832e-07	0.000206726922698
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae	11.8836617234	0.000566284997363	0.00211564075015	0.264455093769	0.00022555718817	3.95629693142e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Thermoanaerobacterales;f__Caldicellulosiruptoraceae	11.6745986121	0.000633592085198	0.00232982286447	0.295887503787	0.0	0.000123687893159
k__Bacteria;p__OD1;c__;o__;f__	11.6745986121	0.000633592085198	0.00232982286447	0.295887503787	0.0	0.000151101440247
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__SBla14;f__	11.2040890486	0.000816172829975	0.00297775555936	0.381152711598	0.0	0.000130165684954
k__Bacteria;p__OP11;c__OP11-4;o__;f__	10.73667449	0.00105032916218	0.00380235440882	0.490503718738	0.0	0.000356111365624
k__Bacteria;p__WPS-2;c__;o__;f__	10.6682725989	0.00108988851402	0.00391521489266	0.508977936046	8.21067448596e-06	1.45204287847e-05
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Bdellovibrionales;f__Bdellovibrionaceae	10.5476131648	0.00116338224031	0.00414732447501	0.543299506226	1.89543217774e-05	0.000410372778416
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae	10.1937284613	0.00140919096683	0.00473447612597	0.65809218151	1.92580780666e-06	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermacoccaceae	10.1937284613	0.00140919096683	0.00473447612597	0.65809218151	1.02450694594e-05	0.0
k__Bacteria;p__Actinobacteria;c__OPB41;o__;f__	10.1937284613	0.00140919096683	0.00473447612597	0.65809218151	1.30035763198e-06	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;Other	10.1937284613	0.00140919096683	0.00473447612597	0.65809218151	1.99710522052e-06	0.0
k__Bacteria;p__Bacteroidetes;c__VC2_1_Bac22;o__;f__	10.1937284613	0.00140919096683	0.00473447612597	0.65809218151	4.35030766486e-06	0.0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];Other	10.1937284613	0.00140919096683	0.00473447612597	0.65809218151	1.80558954844e-06	0.0
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae	10.1937284613	0.00140919096683	0.00473447612597	0.65809218151	2.7164526071e-06	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__	10.1937284613	0.00140919096683	0.00473447612597	0.65809218151	1.96556947082e-06	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Pseudonocardiaceae	9.99204786688	0.00157217666677	0.005244332167	0.734206503379	2.46444488068e-07	8.92499662083e-05
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__MIZ46;f__	9.6356756236	0.00190833996306	0.00632053023225	0.891194762747	3.24692215806e-06	0.000218475228818
k__Bacteria;p__OP11;c__OP11-3;o__;f__	9.35279840579	0.00222645255216	0.00732220663279	1.0	0.0	0.000174141346493
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__	9.24112091049	0.0023664005321	0.00772803530413	1.0	6.46670411445e-06	0.000149071602392
