OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Hominid_mean	Nasonia2_mean	Mosquito_mean	Peromyscus_mean	Drosophila2_mean
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales	102.039969707	3.61803140823e-21	2.0782645531e-20	8.93653757832e-19	0.000832566433964	0.000321375394583	0.000422250200338	0.0	6.14456156182e-05
k__Bacteria;p__Firmicutes;c__Clostridia;Other	98.4642453265	2.0880568828e-20	1.17215920466e-19	5.15750050052e-18	8.4632286908e-05	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales	97.6215569447	3.15552468019e-20	1.72058806453e-19	7.79414596006e-18	0.000776304036066	0.000108132217748	0.000405081503411	0.0	0.000272291286231
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales	97.590228905	3.20433404731e-20	1.72058806453e-19	7.91470509685e-18	2.82607691493e-05	0.0	0.000329488054344	0.0	0.0
k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__HA64	97.1528471484	3.97010949636e-20	2.08641924596e-19	9.806170456e-18	8.25869720284e-05	0.0	0.0	0.000563015272452	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales	96.5195965029	5.414128391e-20	2.78602023453e-19	1.33728971258e-17	0.00762451902083	0.00220166252394	0.00139601227372	0.0	0.000366896094307
k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria];o__Victivallales	91.5493213498	6.17061006918e-19	3.11049119814e-18	1.52414068709e-16	0.000340854435068	0.0	0.0	0.0	6.91163217657e-05
k__Bacteria;p__Tenericutes;c__RF3;o__ML615J-28	91.3742670498	6.72244451375e-19	3.32088758979e-18	1.6604437949e-16	7.18871348509e-05	0.0	0.0	1.16007361253e-05	1.33583275546e-05
k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales	90.5377239643	1.01221287465e-18	4.9022858831e-18	2.50016580038e-16	1.02195133269e-05	0.00150137214396	6.1976988885e-05	1.43665775939e-06	2.3276554087e-05
k__Bacteria;p__OD1;c__SM2F11;o__	86.9673348438	5.80074495363e-18	2.72569151443e-17	1.43278400355e-15	0.0	0.000689080755889	0.0	0.0	0.000554418083946
