OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Vertebrate_mean	Invertebrate_mean
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Acetobacter	68.9649418144	1.00229407469e-16	1.5449647237e-15	1.08147530659e-13	1.8702701068e-05	0.237857545157
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Anaerovibrio	68.3584728309	1.36318266202e-16	2.07165365116e-15	1.47087409232e-13	0.00182418466544	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium	67.4894906124	2.11813134926e-16	3.17425517479e-15	2.28546372585e-13	0.00219519661559	0.0031921231633
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides	67.1433660404	2.52463418017e-16	3.73161682248e-15	2.72408028041e-13	0.00143955745445	0.00172941027779
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__AF12	65.4021045567	6.10736381276e-16	8.67084941312e-15	6.58984555397e-13	0.000565684327852	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__	65.4021045567	6.10736381276e-16	8.67084941312e-15	6.58984555397e-13	0.000454042299711	0.0
k__Bacteria;p__Verrucomicrobia;c__Verruco-5;o__WCHB1-41;f__RFP12;g__	65.4021045567	6.10736381276e-16	8.67084941312e-15	6.58984555397e-13	0.000735914981657	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Megasphaera	64.333676663	1.05034992441e-15	1.47185398498e-14	1.13332756843e-12	0.00561197013741	6.43347051637e-07
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__;g__	62.6228221578	2.50335727582e-15	3.46297756488e-14	2.7011225006e-12	0.000654159921373	2.32813918901e-05
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	62.5600057707	2.58448909688e-15	3.52995409561e-14	2.78866373553e-12	0.0248150966934	0.0121907157462
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__RFN20	62.465183845	2.7119683744e-15	3.65776734497e-14	2.92621387598e-12	0.000144189624277	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;Other	60.2271329189	8.45190522253e-15	1.12587725125e-13	9.11960573511e-12	0.00112077153165	0.00136203313535
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];Other	59.5475830354	1.19372659886e-14	1.55184457851e-13	1.28803100017e-11	0.000129521753537	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Succinivibrionaceae;g__Succinivibrio	59.5475830354	1.19372659886e-14	1.55184457851e-13	1.28803100017e-11	0.000244980763842	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;Other;Other	58.6642069093	1.87012867548e-14	2.40222481053e-13	2.01786884084e-11	1.02722050512e-06	0.00105449477152
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__	57.4488731302	3.46879876267e-14	4.40333395873e-13	3.74283386492e-11	0.00112885981514	0.000404688118274
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Proteus	57.2000096099	3.93669255051e-14	4.93917588605e-13	4.24769126201e-11	1.42068823252e-07	0.0273883277288
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Selenomonas	56.6491752807	5.20926967799e-14	6.46069193396e-13	5.62080198255e-11	0.000387370377908	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Ralstonia	54.6258142568	1.45807743385e-13	1.78780176265e-12	1.57326555113e-10	6.54778205219e-07	0.000897390478255
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__	54.5945853751	1.48143243943e-13	1.79602876645e-12	1.59846560214e-10	6.09036241756e-05	0.00166592749159
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Lysinibacillus	53.7698345431	2.25407096149e-13	2.67268414006e-12	2.43214256745e-10	0.000118477914713	0.0
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Acholeplasmatales;f__Acholeplasmataceae;Other	53.7698345431	2.25407096149e-13	2.67268414006e-12	2.43214256745e-10	0.000529476785718	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Providencia	53.7045939746	2.33017757668e-13	2.73289304917e-12	2.51426160523e-10	4.64579399302e-06	0.0158795130882
k__Bacteria;p__Spirochaetes;c__[Brachyspirae];o__[Brachyspirales];f__Brachyspiraceae;g__Brachyspira	50.9094355907	9.67274839275e-13	1.11030803359e-11	1.04368955158e-09	0.00160977602835	0.0
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Anaeroplasmatales;f__Anaeroplasmataceae;Other	50.9094355907	9.67274839275e-13	1.11030803359e-11	1.04368955158e-09	3.12363795991e-05	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Pelomonas	50.1344956935	1.43560955611e-12	1.63055022215e-11	1.54902271104e-09	1.55973714236e-05	0.00434318330434
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__;g__	50.0580341927	1.49265382669e-12	1.67768070729e-11	1.610573479e-09	1.10026765937e-05	0.00110428838443
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__	49.95765252	1.57100178483e-12	1.74753703694e-11	1.69511092583e-09	1.87585688633e-06	0.022406773103
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas	49.7153844445	1.77746675936e-12	1.95702717688e-11	1.91788663335e-09	0.00278905937683	0.0106715445501
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Rhodoferax	48.9329865245	2.64858717555e-12	2.88669248729e-11	2.85782556242e-09	6.36015955694e-05	0.00115549601321
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	48.5206273637	3.26833005264e-12	3.52652812679e-11	3.52652812679e-09	0.000778847898854	2.54758792754e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium	48.403910226	3.46875838515e-12	3.7057329679e-11	3.74279029758e-09	0.000185530885531	0.00343018454725
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae;g__Fibrobacter	48.0678539934	4.11721482294e-12	4.2716103788e-11	4.44247479395e-09	0.00110866262647	0.0
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__p-75-a5	48.0678539934	4.11721482294e-12	4.2716103788e-11	4.44247479395e-09	2.81861766525e-05	0.0
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Acholeplasmatales;f__Acholeplasmataceae;g__Acholeplasma	48.0678539934	4.11721482294e-12	4.2716103788e-11	4.44247479395e-09	3.82560229754e-05	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Methylophilales;f__Methylophilaceae;g__	47.6928397648	4.98509021658e-12	5.12277366066e-11	5.37891234369e-09	1.15154763773e-06	0.000684869527575
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__RF16;g__	47.2237320688	6.33290146865e-12	6.44641574026e-11	6.83320068467e-09	0.00210355118262	1.90930442141e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;Other	46.5931391344	8.73656005058e-12	8.81004513512e-11	9.42674829457e-09	7.21671123755e-05	6.68062471858e-07
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Solibacillus	46.5470187322	8.94462338892e-12	8.93634133023e-11	9.65124863665e-09	0.00102123640046	2.89329457283e-06
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Rummeliibacillus	45.2449661191	1.73866862441e-11	1.70547585976e-10	1.87602344574e-08	0.0012587382878	0.0
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Anaeroplasmatales;f__Anaeroplasmataceae;g__	45.2449661191	1.73866862441e-11	1.70547585976e-10	1.87602344574e-08	1.73887151493e-05	0.0
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia	45.215357668	1.76515429468e-11	1.71585719276e-10	1.90460148396e-08	9.81723215201e-05	2.67832712584e-06
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae];g__Anaerococcus	45.0418628507	1.92867011731e-11	1.8580670148e-10	2.08103505657e-08	3.46017959759e-06	0.000517235979052
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__	44.9006756814	2.07286339039e-11	1.97930937896e-10	2.23661959823e-08	0.0134366655947	0.00035354390976
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;Other;Other	43.7024596089	3.82291019623e-11	3.61835096643e-10	4.12492010173e-08	5.02339000461e-06	0.000224141288227
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__	43.4149442076	4.42793535829e-11	4.15455847965e-10	4.7777422516e-08	9.54252298351e-06	0.0265022868294
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;Other	43.0639232846	5.29802353889e-11	4.9280753435e-10	5.71656739846e-08	1.2818558812e-07	0.000224748261335
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__Sediminibacterium	42.5007292271	7.06558753785e-11	6.49717790081e-10	7.62376895334e-08	8.52934246023e-06	0.000684902673077
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	42.4406491302	7.28599189989e-11	6.49717790081e-10	7.86158525999e-08	7.40449982597e-05	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Dysgonomonas	42.4406491302	7.28599189989e-11	6.49717790081e-10	7.86158525999e-08	0.000125420769321	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__p-2534-18B5;g__	42.4406491302	7.28599189989e-11	6.49717790081e-10	7.86158525999e-08	0.000776665482253	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Anaerofustis	42.4406491302	7.28599189989e-11	6.49717790081e-10	7.86158525999e-08	5.40038912697e-05	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	42.35077949	7.62859242262e-11	6.74692723279e-10	8.23125122401e-08	3.33693926846e-06	0.00109214309464
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus	42.0914042355	8.7105232569e-11	7.64118259691e-10	9.39865459419e-08	0.00015819362391	0.0168103792405
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae];g__Cloacibacterium	41.3073017571	1.30082071019e-10	1.13192382766e-09	1.4035855463e-07	5.77355858446e-06	0.00177645662346
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__mitochondria;g__	40.1519777306	2.34953503973e-10	2.0281186463e-09	2.53514830787e-07	1.39281812781e-05	0.0008400316373
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__	38.6451847487	5.08284996783e-10	4.35269453595e-09	5.48439511529e-07	0.00149112920506	0.00021926032401
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;Other;Other;Other	38.5096785711	5.44828248998e-10	4.62889512338e-09	5.87869680669e-07	7.62097140082e-05	0.000619702102412
