Tree	R-F_Cluster	R-F_Cluster_toYuleAvg	R-F_Cluster_toUnifAvg
333	2.0000	1.2369	1.2315
334	1.0000	0.6184	0.6158
335	1.0000	0.6184	0.6158
336	0.0000	0.0000	0.0000
337	2.0000	1.2369	1.2315
338	2.0000	1.2369	1.2315
339	2.0000	1.2369	1.2315
340	1.0000	0.6184	0.6158
341	2.0000	1.2369	1.2315
342	2.0000	1.2369	1.2315
343	2.0000	1.2369	1.2315
344	1.0000	0.6184	0.6158
345	2.0000	1.2369	1.2315
346	2.0000	1.2369	1.2315
347	1.0000	0.6184	0.6158
348	2.0000	1.2369	1.2315
349	1.0000	0.6184	0.6158
350	1.0000	0.6184	0.6158
351	2.0000	1.2369	1.2315
352	1.0000	0.6184	0.6158
353	1.0000	0.6184	0.6158
354	2.0000	1.2369	1.2315
355	1.0000	0.6184	0.6158
356	2.0000	1.2369	1.2315
357	1.0000	0.6184	0.6158
358	2.0000	1.2369	1.2315
359	2.0000	1.2369	1.2315
360	2.0000	1.2369	1.2315
361	1.0000	0.6184	0.6158
362	2.0000	1.2369	1.2315
363	2.0000	1.2369	1.2315
364	2.0000	1.2369	1.2315
365	2.0000	1.2369	1.2315
366	2.0000	1.2369	1.2315
367	1.0000	0.6184	0.6158
368	2.0000	1.2369	1.2315
369	2.0000	1.2369	1.2315
370	2.0000	1.2369	1.2315
371	2.0000	1.2369	1.2315
372	2.0000	1.2369	1.2315
373	2.0000	1.2369	1.2315
374	2.0000	1.2369	1.2315
375	2.0000	1.2369	1.2315
376	1.0000	0.6184	0.6158
377	1.0000	0.6184	0.6158
378	2.0000	1.2369	1.2315
379	2.0000	1.2369	1.2315
380	2.0000	1.2369	1.2315
381	2.0000	1.2369	1.2315
382	2.0000	1.2369	1.2315
383	2.0000	1.2369	1.2315
384	2.0000	1.2369	1.2315
385	2.0000	1.2369	1.2315
386	2.0000	1.2369	1.2315
387	2.0000	1.2369	1.2315
388	1.0000	0.6184	0.6158
389	2.0000	1.2369	1.2315
390	2.0000	1.2369	1.2315
391	2.0000	1.2369	1.2315
392	2.0000	1.2369	1.2315
393	2.0000	1.2369	1.2315
394	1.0000	0.6184	0.6158
395	2.0000	1.2369	1.2315
396	2.0000	1.2369	1.2315
397	1.0000	0.6184	0.6158
398	2.0000	1.2369	1.2315
399	2.0000	1.2369	1.2315
400	2.0000	1.2369	1.2315
401	2.0000	1.2369	1.2315
402	0.0000	0.0000	0.0000
403	1.0000	0.6184	0.6158
404	2.0000	1.2369	1.2315
405	1.0000	0.6184	0.6158
406	2.0000	1.2369	1.2315
407	2.0000	1.2369	1.2315
408	2.0000	1.2369	1.2315
409	2.0000	1.2369	1.2315
410	2.0000	1.2369	1.2315
411	1.0000	0.6184	0.6158
412	1.0000	0.6184	0.6158
413	2.0000	1.2369	1.2315
414	2.0000	1.2369	1.2315
415	1.0000	0.6184	0.6158
416	1.0000	0.6184	0.6158
417	2.0000	1.2369	1.2315
418	2.0000	1.2369	1.2315
419	2.0000	1.2369	1.2315
420	2.0000	1.2369	1.2315
421	1.0000	0.6184	0.6158
422	2.0000	1.2369	1.2315
423	2.0000	1.2369	1.2315
424	1.0000	0.6184	0.6158
425	2.0000	1.2369	1.2315
426	1.0000	0.6184	0.6158
427	2.0000	1.2369	1.2315
428	0.0000	0.0000	0.0000
429	2.0000	1.2369	1.2315
430	2.0000	1.2369	1.2315
431	2.0000	1.2369	1.2315
432	2.0000	1.2369	1.2315
433	2.0000	1.2369	1.2315
434	0.0000	0.0000	0.0000
435	2.0000	1.2369	1.2315
436	1.0000	0.6184	0.6158
437	1.0000	0.6184	0.6158
438	2.0000	1.2369	1.2315
439	2.0000	1.2369	1.2315
440	2.0000	1.2369	1.2315
441	2.0000	1.2369	1.2315
442	2.0000	1.2369	1.2315
443	2.0000	1.2369	1.2315
444	1.0000	0.6184	0.6158
445	1.0000	0.6184	0.6158
446	2.0000	1.2369	1.2315
447	2.0000	1.2369	1.2315
448	1.0000	0.6184	0.6158
449	2.0000	1.2369	1.2315
450	2.0000	1.2369	1.2315
451	2.0000	1.2369	1.2315
452	2.0000	1.2369	1.2315
