Tree	R-F_Cluster	R-F_Cluster_toYuleAvg	R-F_Cluster_toUnifAvg
426	2.0000	1.2369	1.2315
427	2.0000	1.2369	1.2315
428	1.0000	0.6184	0.6158
429	2.0000	1.2369	1.2315
430	2.0000	1.2369	1.2315
431	2.0000	1.2369	1.2315
432	1.0000	0.6184	0.6158
433	2.0000	1.2369	1.2315
434	2.0000	1.2369	1.2315
435	1.0000	0.6184	0.6158
436	2.0000	1.2369	1.2315
437	2.0000	1.2369	1.2315
438	0.0000	0.0000	0.0000
439	2.0000	1.2369	1.2315
440	2.0000	1.2369	1.2315
441	2.0000	1.2369	1.2315
442	1.0000	0.6184	0.6158
443	1.0000	0.6184	0.6158
444	2.0000	1.2369	1.2315
445	2.0000	1.2369	1.2315
446	2.0000	1.2369	1.2315
447	2.0000	1.2369	1.2315
448	2.0000	1.2369	1.2315
449	2.0000	1.2369	1.2315
450	2.0000	1.2369	1.2315
451	2.0000	1.2369	1.2315
452	2.0000	1.2369	1.2315
453	2.0000	1.2369	1.2315
454	1.0000	0.6184	0.6158
455	2.0000	1.2369	1.2315
456	2.0000	1.2369	1.2315
457	1.0000	0.6184	0.6158
458	1.0000	0.6184	0.6158
459	2.0000	1.2369	1.2315
460	2.0000	1.2369	1.2315
461	2.0000	1.2369	1.2315
462	2.0000	1.2369	1.2315
463	2.0000	1.2369	1.2315
464	2.0000	1.2369	1.2315
465	1.0000	0.6184	0.6158
466	2.0000	1.2369	1.2315
467	2.0000	1.2369	1.2315
468	1.0000	0.6184	0.6158
469	2.0000	1.2369	1.2315
470	2.0000	1.2369	1.2315
471	1.0000	0.6184	0.6158
472	1.0000	0.6184	0.6158
473	1.0000	0.6184	0.6158
474	1.0000	0.6184	0.6158
475	1.0000	0.6184	0.6158
476	2.0000	1.2369	1.2315
477	1.0000	0.6184	0.6158
478	2.0000	1.2369	1.2315
479	2.0000	1.2369	1.2315
480	2.0000	1.2369	1.2315
481	1.0000	0.6184	0.6158
482	2.0000	1.2369	1.2315
483	2.0000	1.2369	1.2315
484	2.0000	1.2369	1.2315
485	1.0000	0.6184	0.6158
486	1.0000	0.6184	0.6158
487	2.0000	1.2369	1.2315
488	2.0000	1.2369	1.2315
489	1.0000	0.6184	0.6158
490	2.0000	1.2369	1.2315
491	2.0000	1.2369	1.2315
492	1.0000	0.6184	0.6158
493	2.0000	1.2369	1.2315
494	2.0000	1.2369	1.2315
495	2.0000	1.2369	1.2315
496	2.0000	1.2369	1.2315
497	2.0000	1.2369	1.2315
498	2.0000	1.2369	1.2315
499	1.0000	0.6184	0.6158
500	2.0000	1.2369	1.2315
501	1.0000	0.6184	0.6158
502	2.0000	1.2369	1.2315
503	2.0000	1.2369	1.2315
504	2.0000	1.2369	1.2315
505	2.0000	1.2369	1.2315
506	2.0000	1.2369	1.2315
507	2.0000	1.2369	1.2315
508	2.0000	1.2369	1.2315
509	2.0000	1.2369	1.2315
510	0.0000	0.0000	0.0000
511	2.0000	1.2369	1.2315
512	2.0000	1.2369	1.2315
513	2.0000	1.2369	1.2315
